Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	1	0	21	21							506,73	607,65						0,5082	0,26137
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	1	21	301	280			0,5082	0,26137	4,87108										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	2	301	361	60						30,13	202,9	330,12	13,06			0,5082	0,26137	0,65542	0,17594
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	2	361	461	100			0,65542	0,17594	4,74085										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	3	461	481	20							106,81	106,81				0,65542	0,17594		
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	4	501	521	20							131,17	131,17						0,543	0,2709
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	3	521	1460	939			0,543	0,2709	4,96208										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	5	1460	1520	60						230,14	255,25	358,29	11,85			0,543	0,2709	0,43666	0,39827
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	4	1520	2640	1119			0,43666	0,39827	4,86463										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	6	2640	2680	40						23,39	248,19	341,69	11,27			0,43666	0,39827	0,55471	0,34721
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	5	2680	3619	939			0,55471	0,34721	5,05334										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	7	3619	3659	40						127,12	146,26	168,57	7,1			0,55471	0,34721	0,49264	0,2652
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	6	3659	4878	1219			0,49264	0,2652	5,01845										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	8	4878	4898	20						282,09	125,92	125,92	3,59			0,49264	0,2652	0,51226	0,35677
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	7	4898	5718	820			0,51226	0,35677	4,98654										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	9	5718	5738	20						167,53	138,88	138,88	2,31			0,51226	0,35677	0,4861	0,35099
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	8	5738	7177	1439			0,4861	0,35099	5,11248										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	10	7177	7197	20						88,8	113,95	113,95	1,89			0,4861	0,35099	0,48702	0,30703
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	9	7197	8097	899			0,48702	0,30703	5,12037										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	11	8097	8117	20						4,21	111,74	111,74	1,81			0,48702	0,30703	0,50782	0,30549
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	10	8117	9667	1551			0,50782	0,30549	5,07989										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	1	0	21	21							506,73	607,65						0,5082	0,26137
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	1	21	301	280		0	0,5082	0,26137	4,87108										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	2	301	361	60						30,13	202,9	330,12	13,06			0,5082	0,26137	0,65542	0,17594
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	2	361	461	100		0	0,65542	0,17594	4,74085										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	3	461	481	20							106,81	106,81				0,65542	0,17594		
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	4	501	521	20							131,17	131,17						0,543	0,2709
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	3	521	1460	939		0	0,543	0,2709	4,96208										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	5	1460	1520	60						230,14	255,25	358,29	11,85			0,543	0,2709	0,43666	0,39827
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	4	1520	2640	1119		0	0,43666	0,39827	4,86463										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	6	2640	2680	40						23,39	248,19	341,69	11,27			0,43666	0,39827	0,55471	0,34721
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	5	2680	3619	939		0	0,55471	0,34721	5,05334										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	7	3619	3659	40						127,12	146,26	168,57	7,1			0,55471	0,34721	0,49264	0,2652
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	6	3659	4878	1219		0	0,49264	0,2652	5,01845										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	8	4878	4898	20						282,09	125,92	125,92	3,59			0,49264	0,2652	0,51226	0,35677
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	7	4898	5718	820		0	0,51226	0,35677	4,98654										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	9	5718	5738	20						167,53	138,88	138,88	2,31			0,51226	0,35677	0,4861	0,35099
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	8	5738	7177	1439		0	0,4861	0,35099	5,11248										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	10	7177	7197	20						88,8	113,95	113,95	1,89			0,4861	0,35099	0,48702	0,30703
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	9	7197	8097	899		0	0,48702	0,30703	5,12037										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	11	8097	8117	20						4,21	111,74	111,74	1,81			0,48702	0,30703	0,50782	0,30549
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	10	8117	9995	1879		0	0,50782	0,30549	5,09654										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	12	9995	10015	20						198,92	160,09	160,09	12,06			0,50782	0,30549	0,3733	0,3516
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	11	10015	10675	660		0	0,3733	0,3516	5,12975										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	13	10675	10695	20							185,92	185,92				0,3733	0,3516		
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	14	10715	10735	20							175,55	175,55							
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	15	10755	10875	120							349,68	486,02							
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	16	10955	10995	40							294,33	294,33							
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	17	11055	11115	60							216,63	347,05							
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	18	11155	11175	20							222,47	222,47							
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	19	11195	11215	20							157,63	157,63							
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	20	11235	11255	20							200,32	200,32							
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Partial	21	11295	11335	40							158,41	184,81						0,65907	0,48453
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	12	11335	11415	80		0	0,65907	0,48453	5,10994										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	22	11415	11435	20						198,06	171,58	171,58	8,67			0,65907	0,48453	0,56221	0,51611
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	13	11435	11655	220		0	0,56221	0,51611	5,11625										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	23	11655	11714	60						81,94	350,67	436,7	22,54			0,56221	0,51611	0,6223	0,09166
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	14	11714	11794	80		0	0,6223	0,09166	5,00849										
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Saccade	Whole	24	11794	11914	120						267,02	154,56	255,76	23,9			0,6223	0,09166	0,59785	0,56196
Recording129	ProVisioNET_study_234_02	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	15	11914	11994	80		0	0,59785	0,56196	5,14253										
