Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	1744	1744			0,50046	0,20154	3,11627
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	2	1804	2663	860			0,61591	0,17428	3,04771
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	3	2743	4522	1779			0,56985	0,17607	3,07522
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	4	4562	5821	1259			0,45996	0,36797	3,15266
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	5	5921	8060	2139			0,47688	0,33112	3,1308
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	6	8100	10898	2798			0,58013	0,27394	3,10715
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	7	10918	11278	360			0,49628	0,26461	2,97835
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	8	11298	12557	1259			0,51235	0,20281	3,04031
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	9	12617	12877	260			0,5194	0,19837	3,22065
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	10	12937	13017	80			0,52661	0,20221	3,21822
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	11	13097	20693	7596			0,53127	0,23253	3,0012
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	12	20713	21312	600			0,49812	0,21	3,05049
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	13	21412	24414	3002			0,52956	0,23361	3,04991
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	1	0	1744	1744		0	0,50046	0,20154	3,11627
Recording092	ProVisioNET_study_124_08	Female	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	2	1804	2663	860		0	0,61591	0,17428	3,04771
