Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	1099	1099			0,46889	0,31945	3,65208
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	2	1139	1319	180			0,60311	0,22512	3,72845
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	3	1339	1499	160			0,61628	0,17775	3,84457
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	4	1539	3438	1899			0,53262	0,31878	3,79585
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	5	3638	4098	460			0,51455	0,36684	4,13113
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	6	4118	5197	1079			0,49211	0,34886	3,88471
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	7	5217	5997	780			0,4872	0,34673	4,07952
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	8	6117	8115	1999			0,5179	0,37151	3,91724
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	9	8135	10194	2059			0,48198	0,34465	3,83744
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	10	10214	12353	2139			0,5155	0,33139	3,90276
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	11	12373	14492	2119			0,49334	0,34854	3,94608
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	12	14572	16271	1699			0,48743	0,37462	3,68763
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	13	16291	16510	220			0,52429	0,36757	3,88514
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	14	16690	18557	1866			0,50164	0,34593	3,72974
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	1	0	1099	1099			0,46889	0,31945	3,65208
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	2	1139	1319	180			0,60311	0,22512	3,72845
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	3	1339	1499	160			0,61628	0,17775	3,84457
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	4	1539	3438	1899			0,53262	0,31878	3,79585
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	5	3638	4098	460			0,51455	0,36684	4,13113
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	6	4118	5197	1079			0,49211	0,34886	3,88471
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	7	5217	5997	780			0,4872	0,34673	4,07952
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	8	6117	8115	1999			0,5179	0,37151	3,91724
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	9	8135	10194	2059			0,48198	0,34465	3,83744
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	10	10214	12353	2139			0,5155	0,33139	3,90276
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	11	12373	14492	2119			0,49334	0,34854	3,94608
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	12	14572	16271	1699			0,48743	0,37462	3,68763
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	13	16291	16510	220			0,52429	0,36757	3,88514
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	14	16690	19069	2379			0,50164	0,34593	3,7283
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	15	19189	19349	160			0,65925	0,1833	3,417
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	16	19569	19709	140			0,64239	0,21588	3,449
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	17	19729	21148	1419			0,58058	0,09511	3,38362
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	18	21168	21767	600			0,52481	0,09465	3,38149
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	19	22607	22707	100			0,42251	0,21945	3,1247
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	20	24626	24706	80			0,47745	0,07835	3,43338
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	21	25165	25245	80			0,56359	0,17115	3,28934
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	22	25345	25745	400			0,42466	0,25884	3,4488
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	23	25785	25905	120			0,40137	0,27277	3,25557
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	24	26585	26665	80			0,58542	0,20596	3,35349
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	25	27504	27984	480			0,52592	0,4532	4,35735
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	26	29703	29783	80			0,36162	0,78935	4,72686
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	27	29843	30000	157			0,37248	0,73777	4,82446
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Partial	1	0	917	917			0,47034	0,39261	3,68963
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Partial	2	1017	2716	1699			0,53423	0,38184	3,82691
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Whole	3	2736	3116	380			0,53479	0,45232	4,06735
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Whole	4	3156	4735	1579			0,44821	0,38592	4,06136
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Whole	5	4795	6494	1699			0,51945	0,37763	4,01598
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Whole	6	6514	8632	2119			0,4744	0,34697	3,87587
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Whole	7	8652	9052	400			0,52461	0,38567	3,87851
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Whole	8	9132	14729	5597			0,49594	0,39226	3,72526
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2	1	fullstream	Fixation	Whole	9	14749	16528	1779			0,50299	0,38646	3,68201
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Partial	1	0	917	917			0,47034	0,39261	3,68963
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Partial	2	1017	2716	1699			0,53423	0,38184	3,82691
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	3	2736	3116	380			0,53479	0,45232	4,06735
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	4	3156	4735	1579			0,44821	0,38592	4,06136
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	5	4795	6494	1699			0,51945	0,37763	4,01598
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	6	6514	8632	2119			0,4744	0,34697	3,87587
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	7	8652	9052	400			0,52461	0,38567	3,87851
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	8	9132	14729	5597			0,49594	0,39226	3,72526
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	9	14749	16528	1779			0,50299	0,38646	3,68201
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	10	16688	17207	520			0,29803	0,38762	3,76586
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	11	17247	17467	220			0,21141	0,41086	3,51913
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	12	17487	17647	160			0,1762	0,37403	3,23618
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Partial	13	17967	18087	120			0,66304	0,19216	3,58141
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	14	18227	18427	200			0,45778	0,30007	3,47629
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	15	19246	19326	80			0,7792	0,35579	3,57499
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	16	19586	19686	100			0,63433	0,38923	4,17083
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	17	19726	19806	80			0,69464	0,33682	4,19881
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	18	19866	19946	80			0,64439	0,3824	4,25402
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Partial	19	20106	20226	120			0,57242	0,0287	3,97362
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Partial	20	20266	20445	180			0,54045	0,08804	4,20934
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Partial	21	20565	20725	160			0,45193	0,03882	4,00782
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	22	20805	20885	80			0,44154	0,04731	3,63273
Recording085	ProVisioNET_study_210_02	Male	Expert	Calibration_phase2_fix	1	fullstream	Fixation	Whole	23	20925	21045	120			0,3986	0,32548	4,05194
